Entity,Code,Year,Value
United States,USA,2005,1848
United States,USA,2006,1884
Russia,RUS,1983,1909
United States,USA,2007,1930
United States,USA,2008,1954
United States,USA,2009,1992
Russia,RUS,1984,2024
United States,USA,2010,2027
United States,USA,2011,2056
United States,USA,2012,2089
Russia,RUS,1985,2143
United States,USA,2013,2169
Russia,RUS,1986,2257
United States,USA,2014,2264
United States,USA,2015,2368
Russia,RUS,1987,2373
United States,USA,2016,2473
Russia,RUS,1988,2482
Russia,RUS,1989,2581
Russia,RUS,1990,2677
United States,USA,2017,2759
Russia,RUS,1991,2760
Russia,RUS,1992,2838
Russia,RUS,1993,2897
United States,USA,2018,2949
Russia,RUS,1994,2961
Russia,RUS,1995,2997
Russia,RUS,1996,3025
Russia,RUS,1997,3053
Russia,RUS,1998,3080
Russia,RUS,1999,3095
Russia,RUS,2000,3118
Russia,RUS,2001,3148
Russia,RUS,2002,3167
Russia,RUS,2003,3189
Russia,RUS,2004,3208
Russia,RUS,2005,3227
Russia,RUS,2006,3243
Russia,RUS,2007,3261
Russia,RUS,2008,3282
United States,USA,2019,3311
Russia,RUS,2009,3312
Russia,RUS,2010,3336
Russia,RUS,2011,3360
Russia,RUS,2012,3383
Russia,RUS,2013,3412
Russia,RUS,2014,3447
Russia,RUS,2015,3474
Russia,RUS,2016,3488
Russia,RUS,2017,3513
Russia,RUS,2018,3536
Russia,RUS,2019,3566
Russia,RUS,2020,3590
Russia,RUS,2021,3611
Russia,RUS,2022,3661
Russia,RUS,2023,3723
United States,USA,2020,4295
United States,USA,2021,5527
United States,USA,2022,7466
United States,USA,2023,9632
